CVDs,RSP,NO2,SO2,O3
191.0,97.64,95.81,28.81,31.36
193.0,117.02,105.16,28.24,43.18
172.0,111.3,104.68,31.29,37.05
142.0,104.31,85.88,20.49,63.74
124.0,76.23,64.03,12.5,76.93
199.0,88.63,95.37,27.09,22.29
209.0,109.45,104.83,32.51,23.86
173.0,104.16,66.04,16.57,54.02
204.0,118.05,81.95,31.71,38.61
181.0,101.78,73.91,16.51,40.49
150.0,105.43,92.42,22.39,41.55
169.0,89.1,94.15,27.35,59.24
219.0,79.45,84.22,18.49,56.49
137.0,113.03,103.8,29.36,34.16
117.0,109.66,108.56,39.6,48.93
146.0,75.4,76.41,20.46,40.61
210.0,45.34,61.09,14.35,48.68
145.0,50.51,66.4,13.7,61.36
128.0,73.57,87.43,24.53,21.61
203.0,118.97,117.14,38.7,19.93
156.0,78.96,85.84,26.76,35.68
134.0,103.46,111.37,52.68,13.8
188.0,142.78,73.27,18.79,66.8
160.0,96.83,61.8,9.4,32.11
109.0,43.0,72.19,16.42,5.61
103.0,78.54,49.21,10.36,45.61
206.0,74.93,62.93,14.39,51.61
176.0,86.38,68.38,19.51,41.17
153.0,78.07,60.78,16.47,40.49
201.0,79.31,61.8,16.39,36.24
195.0,83.82,74.24,21.37,40.74
128.0,70.86,88.41,27.38,32.49
112.0,71.23,69.57,14.24,70.11
211.0,82.29,66.69,13.42,66.42
199.0,60.32,72.65,13.72,28.11
185.0,58.46,61.02,11.2,47.36
210.0,70.15,75.03,15.89,36.36
173.0,48.84,65.27,11.71,46.61
135.0,69.62,86.44,21.31,23.11
138.0,76.14,66.01,18.25,27.92
200.0,88.06,79.22,18.5,20.34
205.0,71.5,71.76,14.42,20.86
202.0,62.37,46.16,5.19,36.86
168.0,27.93,48.94,7.44,12.05
184.0,32.21,49.42,10.59,26.24
120.0,54.24,53.41,11.76,11.92
